行业,行业细分,公司,涨跌幅,市值
科技,硬件,四创电子,-1.18,9027047000.0
非周期性消费,农副加工食品,京基智农,0.29,9020660000.0
工业,工业制品,胜利精密,1.16,9017177000.0
基础材料,金属与开采,万邦德,-3.63,8996265000.0
医疗保健,医药制造,羚锐制药,7.17,8993304000.0
医疗保健,医药制造,哈药股份,3.48,8990603000.0
基础材料,化工,隆华新材,0.77,8987000000.0
周期性消费,汽车和配件,华达科技,-1.92,8982758000.0
工业,工业制品,日发精机,0.1,8974153000.0
工业,交通运输,*ST飞马,0.6,8968514000.0
工业,建筑,凯盛科技,-2.49,8967998000.0
非周期性消费,生活必需品零售商,唐人神,1.92,8960710000.0
工业,工业制品,航天动力,3.69,8960416000.0
医疗保健,生物科技,诺泰生物,2.44,8951588000.0
医疗保健,医疗机构和服务,重药控股,1.99,8943474000.0
基础材料,化工,赞宇科技,7.65,8942683000.0
基础材料,化工,再升科技,-0.72,8938280000.0
科技,半导体,博敏电子,1.04,8932491000.0
通信服务,传媒,省广集团,1.79,8925886000.0
科技,软件,飞利信,-2.05,8913344000.0
周期性消费,家具制造,亿田智能,0.54,8911180000.0
科技,硬件,苏试试验,-2.2,8903790000.0
科技,软件,北信源,0.66,8901920000.0
非周期性消费,农副加工食品,三元股份,0.68,8895491000.0
周期性消费,服饰加工,百隆东方,7.43,8895000000.0
工业,工业分销,亚星锚链,0.11,8893638000.0
公用事业,公共事业 - 管制,万泽股份,1.19,8893328000.0
工业,建筑,蒙草生态,14.7,8887500000.0
工业,工业制品,博杰股份,-0.47,8882752000.0
能源,其他能源,昊华能源,-0.54,8879987000.0
工业,建筑,金刚玻璃,-4.4,8875154000.0
工业,建筑,中工国际,0.42,8872223000.0
工业,交通运输,华铁股份,0.0,8871975000.0
非周期性消费,农副加工食品,晨光生物,0.9,8859548000.0
科技,软件,数字政通,3.95,8859050000.0
医疗保健,生物科技,寿仙谷,0.43,8857371000.0
工业,工业制品,星云股份,-0.1,8856663000.0
基础材料,钢铁和焦煤,杭萧钢构,4.31,8851861000.0
工业,垃圾处理,创业环保,0.86,8837394000.0
基础材料,林业,兔宝宝,-4.49,8831355000.0
医疗保健,生物科技,奥锐特,9.99,8830020000.0
基础材料,化工,华峰超纤,1.01,8823090000.0
科技,硬件,移为通信,0.87,8812986000.0
基础材料,化工,兆新股份,7.83,8809689000.0
非周期性消费,农副加工食品,中宠股份,0.3,8796902000.0
周期性消费,汽车和配件,金固股份,2.69,8796543000.0
医疗保健,医疗器械,洁特生物,-0.54,8787000000.0
工业,工业制品,上海沪工,4.86,8779492000.0
科技,软件,盛视科技,-3.23,8778403000.0
金融服务,银行,苏农银行,-0.41,8762922000.0
工业,工业制品,中泰股份,-0.9,8758853000.0
医疗保健,医疗诊断和研究,凯普生物,4.27,8755094000.0
周期性消费,汽车和配件,上声电子,-4.27,8747200000.0
非周期性消费,农副加工食品,豪悦护理,-0.02,8746352000.0
周期性消费,旅游和娱乐,探路者,1.33,8722140000.0
